TRIAL,CAUGHT,FENCE,LURE
17April2025_Atlas,No,Yes,Striped
19April2025_Kya,No,Yes,Plain
20April2025_Msaba,Yes,No,Plain
21April2025_Kya,Yes,No,Plain
22April2025_Msaba,No,Yes,Plain
26April2025_Msaba,Yes,No,Plain
29April2025_Mashika,No,Yes,Plain
30April2025_Zuri,Yes,No,Plain
01May2025_Mashika,Yes,No,Plain
06May2025_Kya,Yes,No,Plain
23May2025_Mashika,No,Yes,Striped 
24May2025_Mashika,Yes,No,Striped 
25May2025_Mashika,Yes,Yes,Plain
28May2025_Mashika,No,Yes,Striped
29May2025_Mashika,No,Yes,Plain
30May2025_MashikaKya,No,Yes,Striped 
31May2025_Kya,Yes,No,Plain 
01June2025_Mashika,No,Yes,Striped
05June2025_Kya,No,Yes,Plain
06June2025_Kya,Yes,No,Striped
07June2025_Mashika,Yes,No,Striped
08June2025_Kya,No,Yes,Plain
11June2025_Msaba,Yes,No,Striped
12June2025_Mashika,No,Yes,Striped
13June2025_Mashika,Yes,No,Plain
15June2025_Msaba,No,Yes,Striped
16June2025_Kya,Yes,No,Striped
18June2025_Kya,No,Yes,Striped
19June2025_Msaba,No,Yes,Striped
20June2025_Kya,Yes,No,Striped
24June2025_Kya,No,Yes,Striped
25June2025_Msaba,No,Yes,Striped
26June2025_Msaba,Yes,No,Striped
27June2025_Zuri,Yes,No,Striped
28June2025_Zuri,No,Yes,Plain
30June2025_Msaba,No,Yes,Striped
01July2025_Mashika,Yes,No,Plain
02July2025_Mashika,No,Yes,Striped
04July2025_Zuri,No,Yes,Striped
04July2025_Mashika,No,Yes,Plain
05July2025_Mashika,Yes,No,Plain
05July2025_Kya,Yes,No,Striped
08July2025_Atlas,No,No,Plain
09July2025_Kya,No,No,Striped
09July2025_Zuri,No,Yes,Plain
10July2025_Kya,Yes,Yes,Plain
10July2025_Mashika,Yes,No,Striped
14July2025_Mashika,No,Yes,Striped
14July2025_Zuri,No,No,Plain
15July2025_Msaba,Yes,No,Plain
16July2025_Mashika,No,Yes,Striped
17July2025_Msaba,No,Yes,Plain
18July2025_Kya,Yes,No,Striped
18July2025_Mashika,No,Yes,Plain
21July2025_Kya,No,Yes,Plain
21July2025_Zuri,No,Yes,Striped
22July2025_Kya,Yes,No,Striped
22July2025_Mashika,No,Yes,Plain
23July2025_Kya,No,Yes,Striped
23July2025_Mashika,No,Yes,Plain
24July2025_Kya,No,Yes,Striped
24July2025_Mashika,No,Yes,Plain
25July2025_Kya,Yes,No,Plain
25July2025_Mashika,Yes,No,Striped
26July2025_Mashika,No,Yes,Striped
25August2025_Kwasi,No,Yes,Plain
25August2025_Vander,No,Yes,Striped